image_id,image_type,eyes_crown,eyes_base,ratio_eyes,snout_back,crown_base,ratio_head,year,exact,source
1,front,349,378,0.92,NA,NA,NA,2009,1,Etsy
2,front,400,365,1.1,NA,NA,NA,1991,1,Etsy
3,front,134,352,0.38,NA,NA,NA,1998,1,Etsy
4,front,192,303,0.63,NA,NA,NA,2003,1,Etsy
5,front,320,479,0.67,NA,NA,NA,1990,0,Etsy
6,front,224,238,0.94,NA,NA,NA,1990,0,Etsy
7,front,291,288,1.01,NA,NA,NA,1990,0,Etsy
8,front,161,148,1.09,NA,NA,NA,1990,0,Etsy
9,front,208,274,0.76,NA,NA,NA,1990,0,Etsy
10,front,386,288,1.34,NA,NA,NA,1980,0,Etsy
11,front,197,223,0.88,NA,NA,NA,1990,0,Etsy
12,front,341,412,0.83,NA,NA,NA,1990,0,Etsy
13,front,259,468,0.55,NA,NA,NA,1990,0,Etsy
14,front,276,361,0.76,NA,NA,NA,1990,0,Etsy
15,front,294,297,0.99,NA,NA,NA,1990,0,Etsy
16,front,372,418,0.89,NA,NA,NA,1990,0,Etsy
17,front,165,346,0.48,NA,NA,NA,1990,0,Etsy
18,front,220,319,0.69,NA,NA,NA,1991,1,Etsy
19,front,131,216,0.61,NA,NA,NA,1990,0,Etsy
20,front,222,519,0.43,NA,NA,NA,1994,1,Etsy
21,front,438,446,0.98,NA,NA,NA,1995,1,Etsy
22,front,209,345,0.61,NA,NA,NA,1990,0,Etsy
23,front,130,186,0.7,NA,NA,NA,1990,0,Etsy
24,front,349,314,1.11,NA,NA,NA,1990,0,Etsy
25,front,147,152,0.97,NA,NA,NA,1990,0,Etsy
26,front,286,258,1.11,NA,NA,NA,1990,0,Etsy
27,front,333,462,0.72,NA,NA,NA,1990,0,Etsy
28,front,465,525,0.89,NA,NA,NA,1990,0,Etsy
29,front,157,192,0.82,NA,NA,NA,1990,0,Etsy
30,front,330,495,0.67,NA,NA,NA,1990,0,Etsy
31,side,NA,NA,NA,384,314,1.22,2009,1,Etsy
32,side,NA,NA,NA,723,646,1.12,2003,1,Etsy
33,side,NA,NA,NA,685,568,1.21,1990,0,Etsy
34,side,NA,NA,NA,567,496,1.14,1980,0,Etsy
35,side,NA,NA,NA,1056,902,1.17,1990,0,Etsy
36,side,NA,NA,NA,610,665,0.92,1990,0,Etsy
37,side,NA,NA,NA,418,372,1.12,1990,0,Etsy
38,side,NA,NA,NA,982,754,1.3,1990,0,Etsy
39,side,NA,NA,NA,704,676,1.04,1990,0,Etsy
40,side,NA,NA,NA,886,792,1.12,1990,0,Etsy
41,side,NA,NA,NA,394,310,1.27,1990,0,Etsy
42,side,NA,NA,NA,832,678,1.23,1990,0,Etsy
43,side,NA,NA,NA,843,785,1.07,1990,0,Etsy
44,side,NA,NA,NA,587,473,1.24,1990,0,Etsy
45,side,NA,NA,NA,561,630,0.89,1991,1,Etsy
46,side,NA,NA,NA,517,390,1.33,1991,1,Etsy
47,side,NA,NA,NA,610,648,0.94,1992,1,Etsy
48,side,NA,NA,NA,616,565,1.09,1992,1,Etsy
49,side,NA,NA,NA,424,317,1.34,1993,1,Etsy
50,front,275,327,0.840979,NA,NA,NA,2011,1,ebay
51,front,237,245,0.967346939,NA,NA,NA,2011,1,ebay
52,front,121,165,0.733333333,NA,NA,NA,2011,1,ebay
53,front,323,250,1.292,NA,NA,NA,2011,1,ebay
